orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,power_consumption_kw,remaining_battery_percent,mission_risk,health_score,memory_utilization_percent
LEO,359.12,83.84,36.41,2.66,0.35,2,0.98,18.81,170.71,387.22,512.0,22.79,79.28,6.86,1.53,30.13,1.54,0.0,HIGH,21.35,75.62890625
GEO,35786.0,1.58,34.64,1.13,0.95,3,3.04,31.31,62.77,358.42,512.0,81.52,79.3,5.43,3.57,32.21,3.51,0.0,HIGH,27.89,70.00390625
SSO,648.08,97.02,38.18,4.27,1.09,3,2.19,24.64,435.29,52.82,512.0,89.9,45.76,9.96,2.5,40.91,2.78,0.0,HIGH,16.87,10.31640625
MEO,3080.79,57.44,46.0,0.69,1.12,5,2.26,26.16,115.43,32.17,512.0,68.2,50.18,1.68,2.68,40.86,2.62,25.69,MEDIUM,54.89,6.283203125
MEO,6071.35,53.98,48.01,1.37,0.89,4,4.2,41.17,79.03,440.94,512.0,93.6,30.68,8.43,4.27,49.53,4.56,0.0,HIGH,19.18,86.12109375
GEO,35786.0,1.18,34.54,0.73,0.04,5,3.3,14.11,180.35,442.2,512.0,69.04,29.55,4.6,3.91,26.86,3.75,0.0,HIGH,42.0,86.3671875
MEO,14741.75,48.86,45.32,2.71,0.85,5,3.98,43.25,65.17,38.2,512.0,87.66,59.71,3.16,4.63,39.49,4.51,0.0,HIGH,41.3,7.460937500000001
SSO,503.66,97.26,38.04,1.57,0.47,1,0.55,19.58,381.88,418.75,512.0,80.52,38.53,2.72,1.17,33.53,0.79,42.94,MEDIUM,55.64,81.787109375
MEO,11153.49,52.76,59.24,2.68,0.81,5,3.82,44.63,141.06,53.05,512.0,73.7,50.94,1.56,4.55,53.19,4.31,47.61,MEDIUM,62.01,10.361328125
GEO,35786.0,2.42,99.19,0.81,0.37,4,2.18,19.65,96.42,469.06,512.0,60.24,46.64,6.18,2.72,100.0,2.77,0.0,HIGH,14.37,91.61328125
MEO,15959.89,52.1,62.07,1.76,0.21,4,2.75,28.46,401.87,112.85,512.0,78.73,49.9,3.16,3.15,63.17,3.34,14.55,HIGH,15.23,22.041015625
LEO,439.01,38.12,33.93,2.19,0.63,4,2.99,36.05,425.06,441.18,512.0,10.94,32.43,3.16,3.28,26.51,3.58,0.0,HIGH,29.47,86.16796875
LEO,586.83,62.37,43.53,1.67,0.1,1,0.72,14.73,368.96,302.67,512.0,14.91,68.07,8.56,1.33,46.15,1.31,0.0,HIGH,23.12,59.115234375
SSO,739.39,98.04,85.48,4.16,0.8,3,2.31,24.54,290.98,48.83,512.0,89.58,43.44,6.1,3.08,81.77,2.89,20.95,HIGH,28.32,9.537109375
GEO,35786.0,3.41,63.87,4.19,0.53,3,3.16,59.9,70.4,93.17,512.0,75.42,74.06,1.92,3.37,58.0,3.51,70.21,HIGH,19.85,18.197265625
MEO,17146.59,58.87,57.91,1.69,0.31,5,2.43,29.68,442.75,71.6,512.0,49.19,52.23,7.38,3.3,50.47,3.03,0.0,HIGH,13.14,13.984374999999998
LEO,733.79,38.9,63.4,0.75,0.65,4,3.91,57.3,177.46,262.79,512.0,87.77,52.61,9.41,4.53,62.85,4.37,0.0,HIGH,14.6,51.32617187500001
GEO,35786.0,3.84,78.94,2.13,1.44,3,3.25,34.67,343.93,446.81,512.0,15.38,24.99,8.01,3.85,78.23,3.55,0.0,HIGH,25.13,87.267578125
LEO,437.19,67.33,79.33,1.9,0.66,3,3.4,54.52,213.63,67.14,512.0,53.81,56.98,3.44,3.75,82.02,3.83,16.37,HIGH,32.32,13.11328125
SSO,547.89,97.61,37.9,3.19,1.66,1,0.74,27.35,378.0,425.3,512.0,82.8,33.66,3.32,0.99,30.22,0.98,54.98,MEDIUM,49.33,83.06640625
MEO,19115.76,54.95,68.52,4.13,0.29,4,4.03,48.72,427.71,75.76,512.0,73.18,73.17,9.85,5.01,60.63,4.62,0.0,HIGH,20.93,14.796875000000002
LEO,640.61,88.75,87.3,1.82,1.5,5,2.42,51.44,418.23,193.15,512.0,87.62,47.19,3.23,2.59,88.29,2.72,51.87,HIGH,17.25,37.724609375
SSO,717.97,97.59,53.33,2.19,1.53,5,4.07,38.8,135.77,99.4,512.0,63.66,48.26,2.23,4.87,57.64,4.65,12.12,HIGH,36.55,19.4140625
MEO,13004.14,47.34,46.95,2.23,1.28,5,4.9,33.87,283.12,41.31,512.0,81.97,20.63,7.96,5.04,45.18,5.17,0.0,HIGH,28.2,8.068359375
SSO,641.14,98.26,47.61,0.89,1.18,5,3.52,13.08,298.16,38.96,512.0,21.36,21.26,6.79,4.21,48.96,4.02,0.0,HIGH,32.48,7.609375
SSO,726.88,97.74,98.64,1.2,0.71,1,0.87,38.38,257.16,460.54,512.0,76.55,70.16,6.29,1.32,98.27,1.21,63.78,HIGH,25.95,89.94921875
LEO,622.75,51.4,45.13,2.0,1.79,3,3.01,51.27,295.16,264.23,512.0,88.42,70.43,6.07,3.8,47.21,3.43,0.0,HIGH,12.99,51.607421875
MEO,19227.48,57.6,47.28,2.76,1.01,3,2.72,11.66,319.46,256.91,512.0,84.78,37.5,3.85,3.41,48.59,3.2,0.27,HIGH,12.67,50.17773437500001
LEO,344.14,38.26,60.09,2.46,0.95,3,2.32,50.09,361.13,390.28,512.0,19.86,75.58,8.84,2.79,60.0,2.74,0.0,HIGH,33.47,76.2265625
GEO,35786.0,3.92,33.55,4.26,1.62,4,2.58,47.48,103.35,331.6,512.0,17.32,25.01,6.38,2.66,26.54,2.91,0.0,HIGH,34.94,64.765625
MEO,16126.62,58.77,98.38,3.31,0.2,2,1.33,21.08,264.49,413.21,512.0,46.59,42.3,8.25,1.57,98.16,1.59,53.01,LOW,80.47,80.705078125
GEO,35786.0,3.0,52.14,3.41,1.32,2,0.98,26.94,222.93,10.33,512.0,20.92,24.98,4.01,1.62,53.13,1.41,56.38,LOW,97.73,2.017578125
MEO,3347.95,46.02,35.33,4.18,0.44,5,4.84,45.73,312.66,155.16,512.0,21.97,32.91,1.63,5.57,38.36,5.25,29.95,MEDIUM,67.86,30.3046875
MEO,11055.17,51.98,65.55,3.85,0.06,5,3.49,55.57,406.26,373.37,512.0,13.59,28.95,7.28,3.68,65.53,3.78,0.0,HIGH,13.9,72.923828125
SSO,556.45,97.9,68.86,2.09,1.73,2,1.71,44.66,316.1,93.33,512.0,77.0,23.85,9.37,1.8,71.9,2.19,0.0,HIGH,35.31,18.228515625
MEO,14250.23,57.93,74.22,2.7,0.12,1,0.7,53.87,392.43,212.42,512.0,43.87,24.18,4.41,0.95,71.31,0.91,80.45,LOW,95.82,41.48828125
SSO,695.73,98.87,94.75,1.01,1.8,4,1.95,21.94,97.03,406.44,512.0,53.64,75.83,1.54,2.07,91.54,2.23,84.49,HIGH,20.57,79.3828125
LEO,903.09,62.41,54.68,3.1,0.31,1,0.75,25.76,230.26,247.73,512.0,78.98,38.17,9.59,1.5,52.76,1.24,14.53,HIGH,23.6,48.384765625
LEO,378.22,96.68,72.15,4.46,1.21,4,4.04,9.06,223.57,375.91,512.0,65.07,21.62,5.18,4.3,76.38,4.56,0.0,HIGH,11.71,73.419921875
LEO,702.23,53.79,68.94,3.02,1.41,1,0.61,44.19,113.23,131.64,512.0,45.73,38.64,9.67,0.94,63.71,0.98,43.84,MEDIUM,64.62,25.710937499999996
GEO,35786.0,0.29,88.17,2.22,0.78,2,1.68,39.98,230.23,335.93,512.0,72.08,37.68,3.88,1.67,86.07,1.99,64.73,MEDIUM,46.44,65.611328125
SSO,703.84,98.42,66.58,1.16,0.58,1,0.77,39.86,285.2,273.87,512.0,77.66,20.64,4.55,0.78,61.64,1.17,45.87,MEDIUM,68.54,53.490234375
GEO,35786.0,1.71,88.67,1.6,1.61,3,1.53,7.22,263.1,390.76,512.0,15.54,23.94,7.41,1.94,83.9,1.84,19.02,HIGH,24.17,76.3203125
GEO,35786.0,4.63,54.2,2.28,0.43,3,2.26,18.86,75.96,200.66,512.0,78.7,52.31,6.59,2.8,54.69,2.85,0.0,HIGH,13.74,39.19140625
MEO,2129.22,51.61,59.03,4.38,0.88,2,1.28,14.43,57.64,330.73,512.0,79.07,70.6,4.45,1.38,53.25,1.61,65.05,HIGH,16.3,64.595703125
SSO,551.31,98.31,77.83,0.81,0.2,2,2.0,44.37,330.67,123.98,512.0,11.11,39.05,2.9,2.53,76.81,2.3,44.3,MEDIUM,72.05,24.21484375
LEO,819.8,76.33,69.2,3.11,1.07,1,0.8,51.23,191.25,131.5,512.0,60.85,39.64,6.44,0.74,62.92,1.1,60.61,LOW,93.81,25.68359375
LEO,905.44,95.04,53.82,3.44,1.42,4,4.61,24.6,193.78,159.28,512.0,20.58,70.26,3.52,5.14,46.16,5.06,0.0,HIGH,14.13,31.109375
LEO,428.41,46.72,67.79,3.22,0.4,2,1.21,8.76,55.71,468.16,512.0,54.61,44.4,9.34,1.41,70.18,1.79,0.0,HIGH,32.37,91.4375
MEO,19834.74,49.46,38.98,0.87,1.16,5,5.64,31.53,365.1,99.69,512.0,94.17,32.48,2.26,6.07,36.53,5.93,0.0,HIGH,23.92,19.470703125
SSO,771.27,98.15,87.17,0.58,0.09,1,0.86,20.81,329.13,136.62,512.0,24.86,43.56,7.09,1.45,80.55,1.12,42.45,MEDIUM,48.16,26.68359375
LEO,602.49,38.92,73.04,0.94,1.46,2,0.92,36.75,183.65,225.71,512.0,85.78,74.0,9.5,1.42,77.25,1.26,6.76,HIGH,26.37,44.083984375
LEO,740.29,88.72,93.77,2.39,0.8,5,5.97,56.47,133.73,97.62,512.0,20.13,49.06,3.14,6.65,97.44,6.52,0.0,HIGH,20.96,19.06640625
MEO,3575.0,54.45,92.4,3.35,0.55,1,0.5,23.17,372.52,186.15,512.0,62.2,39.5,7.54,0.8,84.43,0.97,85.02,LOW,80.8,36.357421875
SSO,639.27,97.32,46.89,0.94,0.68,2,1.11,55.51,261.5,24.61,512.0,62.99,57.57,7.16,1.92,43.36,1.63,0.0,HIGH,21.58,4.806640625
SSO,631.73,97.57,45.3,1.56,0.61,4,2.93,54.83,143.39,26.15,512.0,25.0,72.23,5.29,3.26,48.25,3.29,0.0,HIGH,38.76,5.107421875
LEO,345.84,52.48,44.37,0.66,1.27,4,2.96,49.11,183.7,270.47,512.0,17.29,50.29,4.4,3.53,48.59,3.42,0.0,HIGH,20.01,52.82617187500001
SSO,757.56,97.91,37.7,1.98,0.18,5,2.14,52.83,345.8,105.14,512.0,51.62,22.24,3.61,2.43,38.76,2.64,0.0,HIGH,34.89,20.53515625
GEO,35786.0,4.84,64.22,4.36,1.52,1,0.55,16.29,228.91,10.29,512.0,93.32,49.38,1.49,0.68,62.12,0.8,100.0,HIGH,25.34,2.009765625
MEO,11662.97,50.82,77.42,3.66,1.14,3,3.24,44.89,406.37,261.85,512.0,87.68,26.49,6.87,3.36,72.74,3.58,0.0,HIGH,12.02,51.14257812500001
SSO,670.25,98.02,37.38,1.26,1.08,4,2.53,58.59,218.1,47.49,512.0,89.39,48.5,3.3,2.94,31.01,2.93,0.0,HIGH,11.58,9.275390625
GEO,35786.0,1.83,49.68,2.25,1.57,4,4.08,52.45,273.84,82.11,512.0,30.43,59.4,4.91,4.49,41.89,4.37,0.0,HIGH,34.68,16.037109375
LEO,505.78,80.77,60.83,2.3,0.61,1,0.94,45.68,85.1,85.79,512.0,66.71,62.83,6.89,1.46,58.91,1.26,32.13,MEDIUM,70.09,16.755859375
MEO,17626.33,54.27,58.64,1.84,0.71,1,0.46,40.61,163.58,224.53,512.0,87.92,46.3,9.97,0.71,61.13,1.05,12.46,HIGH,11.26,43.853515625
MEO,15608.03,45.55,40.45,1.53,1.32,5,2.74,29.03,87.74,25.5,512.0,46.93,50.02,2.42,2.95,44.03,3.18,8.74,HIGH,25.64,4.98046875
GEO,35786.0,3.08,84.66,1.72,0.81,3,2.63,51.84,210.63,68.92,512.0,87.23,27.26,9.66,3.46,80.78,3.07,0.0,HIGH,23.72,13.4609375
LEO,602.95,68.52,92.54,0.9,1.6,1,1.15,24.63,449.14,284.14,512.0,23.13,49.94,4.7,1.98,88.06,1.69,51.62,LOW,96.48,55.49609375
GEO,35786.0,1.79,35.64,2.75,0.11,2,1.15,37.38,172.2,240.7,512.0,87.24,40.36,9.7,1.7,35.28,1.4,0.0,HIGH,12.65,47.01171875
GEO,35786.0,0.85,37.3,1.15,0.68,2,0.88,8.09,257.01,459.16,512.0,20.54,51.12,8.96,1.17,36.02,1.21,0.0,HIGH,32.46,89.6796875
GEO,35786.0,0.55,43.46,2.52,0.88,5,5.78,59.04,363.38,266.65,512.0,87.83,50.07,7.84,6.08,40.56,6.23,0.0,HIGH,29.95,52.08007812499999
MEO,4118.92,53.88,49.89,2.48,1.41,2,0.99,35.16,336.63,402.21,512.0,42.94,50.91,1.41,1.5,42.99,1.22,68.52,MEDIUM,71.32,78.556640625
MEO,5034.9,59.42,63.57,1.7,1.5,3,3.52,45.16,164.69,452.54,512.0,64.43,54.3,4.01,3.93,60.84,3.76,0.0,HIGH,33.31,88.38671875
MEO,14776.22,55.58,69.95,3.31,0.03,5,4.43,38.09,220.63,279.36,512.0,86.19,36.56,1.75,4.6,74.66,4.88,54.05,HIGH,38.36,54.5625
LEO,875.4,70.82,74.13,2.72,1.32,3,1.36,30.72,216.31,296.44,512.0,90.59,51.16,7.36,1.59,74.3,1.6,30.28,HIGH,36.67,57.8984375
SSO,703.26,98.13,65.89,2.5,1.55,3,2.33,9.41,403.99,364.36,512.0,35.84,79.01,2.07,2.67,63.76,2.56,61.46,HIGH,43.39,71.1640625
LEO,954.39,50.99,67.92,2.93,1.52,5,2.06,56.33,152.74,353.71,512.0,10.87,66.57,6.38,2.16,71.6,2.3,7.45,HIGH,22.3,69.083984375
SSO,543.81,98.41,33.34,2.6,1.73,3,1.23,15.86,135.07,360.11,512.0,23.01,71.77,1.65,1.99,33.59,1.69,46.37,HIGH,18.02,70.333984375
MEO,3811.67,57.81,52.54,2.09,0.41,4,3.45,34.59,253.9,314.64,512.0,32.79,37.39,8.03,3.72,45.59,3.79,0.0,HIGH,33.2,61.453125
GEO,35786.0,3.03,34.96,2.6,0.21,2,1.4,11.91,124.37,239.82,512.0,87.46,33.24,5.58,1.69,38.09,1.6,8.11,HIGH,11.96,46.83984375
MEO,14561.88,52.4,61.06,1.5,1.57,1,0.41,58.64,175.29,49.78,512.0,29.74,31.46,3.07,0.92,61.52,1.01,58.89,LOW,94.66,9.72265625
SSO,701.95,98.56,92.39,1.73,1.0,2,2.19,28.61,355.33,362.33,512.0,24.83,21.9,5.6,2.67,87.03,2.46,23.62,HIGH,12.13,70.767578125
MEO,10214.34,55.83,62.1,2.53,1.8,2,1.38,7.49,311.94,323.11,512.0,81.35,46.55,5.12,1.6,64.65,1.71,35.56,MEDIUM,61.71,63.107421875
SSO,635.57,97.2,63.23,2.14,0.65,2,2.04,57.78,185.14,131.77,512.0,11.99,40.06,6.31,2.88,67.29,2.6,0.0,HIGH,35.98,25.736328125000004
GEO,35786.0,1.1,35.55,4.44,1.12,1,0.55,29.42,132.64,217.06,512.0,77.69,70.44,6.05,1.29,35.69,0.92,52.8,HIGH,10.69,42.39453125
LEO,308.6,90.83,62.5,4.15,1.08,5,2.53,52.74,226.89,37.78,512.0,35.63,25.96,2.11,2.89,60.91,2.76,74.42,LOW,76.52,7.37890625
SSO,726.57,98.68,33.19,3.98,0.89,5,4.47,27.86,141.08,299.24,512.0,16.91,24.83,8.08,5.24,35.14,4.96,0.0,HIGH,36.21,58.4453125
LEO,424.04,69.45,90.42,3.61,0.71,4,2.26,5.78,383.13,129.63,512.0,92.31,63.2,4.4,2.82,88.18,2.8,53.79,HIGH,18.7,25.318359375
MEO,6281.41,48.89,43.42,0.84,1.18,1,0.77,7.63,161.68,300.35,512.0,59.83,45.9,3.79,0.99,46.12,1.3,21.51,HIGH,32.02,58.66210937500001
SSO,732.63,97.86,95.87,1.72,0.83,4,1.92,26.57,394.08,470.67,512.0,73.41,72.1,4.22,2.23,99.18,2.36,51.76,HIGH,37.9,91.927734375
MEO,2079.92,51.24,90.37,1.74,0.38,5,5.5,37.21,232.37,94.12,512.0,17.0,42.72,1.32,5.46,86.99,5.73,62.02,LOW,79.87,18.3828125
SSO,775.07,97.47,63.76,3.29,0.77,2,1.09,55.01,292.05,281.71,512.0,26.03,53.46,2.04,1.55,64.53,1.34,85.57,MEDIUM,71.09,55.02148437499999
LEO,560.71,87.68,74.59,3.87,1.18,1,0.46,26.52,423.01,459.04,512.0,58.56,37.32,2.23,0.42,77.67,0.77,100.0,LOW,78.23,89.65625
SSO,711.04,98.42,45.39,1.14,1.69,1,1.11,17.99,412.71,428.41,512.0,57.24,26.24,7.62,1.39,37.7,1.65,0.0,HIGH,31.13,83.673828125
SSO,539.66,97.06,52.18,2.99,0.75,2,1.04,41.02,293.7,128.74,512.0,22.64,72.68,2.99,1.57,46.67,1.25,63.92,HIGH,30.35,25.14453125
MEO,9467.71,53.33,54.91,3.6,0.03,2,1.25,53.82,79.42,337.0,512.0,14.91,63.07,7.8,1.57,48.94,1.68,12.9,HIGH,15.02,65.8203125
SSO,535.83,98.3,30.65,4.39,0.75,3,2.52,22.57,400.78,114.57,512.0,14.08,32.74,1.85,2.4,34.08,2.78,49.89,LOW,95.37,22.376953125
LEO,982.15,45.36,41.86,1.02,0.79,2,2.01,46.52,248.47,404.31,512.0,86.81,42.79,4.11,2.02,44.84,2.38,0.0,HIGH,23.42,78.966796875
GEO,35786.0,4.24,30.65,4.35,0.53,3,3.02,49.3,103.75,333.1,512.0,23.82,59.14,5.45,3.17,22.85,3.43,0.0,HIGH,11.69,65.05859375
MEO,12402.73,49.75,95.98,1.86,1.25,1,0.83,55.54,327.61,209.0,512.0,53.29,24.92,5.92,1.32,94.61,1.38,65.21,LOW,75.11,40.8203125
LEO,924.86,73.99,55.09,0.66,1.15,1,0.89,37.08,93.06,449.56,512.0,40.33,26.17,2.65,1.58,56.44,1.46,37.98,MEDIUM,53.7,87.8046875
GEO,35786.0,4.92,72.89,1.01,0.9,4,2.22,56.22,358.2,71.27,512.0,40.7,78.26,1.82,2.53,74.27,2.58,54.41,HIGH,38.4,13.919921875
SSO,744.24,97.38,57.05,2.94,0.48,3,2.85,44.39,407.35,91.05,512.0,25.48,55.29,3.7,2.88,54.85,3.06,18.72,HIGH,22.76,17.783203125
LEO,781.32,55.13,39.22,2.93,0.62,3,1.98,25.0,273.06,309.46,512.0,10.63,65.59,5.21,2.25,31.48,2.52,0.0,HIGH,33.07,60.44140624999999
MEO,2604.74,54.36,98.65,0.97,0.5,1,0.88,25.96,433.31,201.24,512.0,18.87,39.69,4.93,1.49,95.25,1.13,74.2,LOW,97.01,39.3046875
MEO,11173.9,46.52,44.29,3.4,0.04,3,1.86,55.63,378.97,248.42,512.0,80.43,58.05,4.9,2.4,39.44,2.06,19.5,HIGH,34.29,48.51953125
GEO,35786.0,0.32,64.33,1.59,0.85,4,3.0,50.32,285.22,174.04,512.0,66.73,38.72,3.26,3.83,56.97,3.56,8.03,HIGH,42.65,33.9921875
GEO,35786.0,1.36,37.88,0.63,0.04,4,2.23,47.01,94.89,170.03,512.0,15.21,27.9,6.15,2.92,32.62,2.66,0.0,HIGH,22.23,33.208984375
GEO,35786.0,1.24,48.79,1.18,1.51,2,1.25,44.85,218.91,84.4,512.0,21.13,62.22,1.13,1.44,43.5,1.8,49.71,MEDIUM,59.46,16.484375
GEO,35786.0,1.0,62.9,3.16,0.29,5,2.79,39.02,408.67,18.73,512.0,39.59,64.28,1.07,3.17,64.9,3.21,78.53,MEDIUM,65.73,3.658203125
LEO,836.4,89.32,86.08,3.66,0.75,3,2.46,56.04,273.24,30.91,512.0,44.99,62.61,6.45,2.85,90.13,2.83,11.33,HIGH,16.34,6.037109375
GEO,35786.0,0.66,40.19,1.06,1.79,2,1.59,53.33,111.04,20.98,512.0,20.64,44.89,8.63,2.23,43.7,2.02,0.0,HIGH,39.42,4.09765625
GEO,35786.0,2.41,77.94,3.78,0.75,1,0.62,5.42,202.5,452.54,512.0,57.38,49.78,4.71,0.83,77.32,1.21,86.23,LOW,84.47,88.38671875
SSO,604.27,98.84,87.25,2.58,0.18,1,1.12,48.6,70.66,242.64,512.0,37.81,70.11,9.61,1.15,85.34,1.53,22.38,HIGH,37.99,47.390625
SSO,698.91,98.69,99.9,3.29,1.22,1,0.68,44.29,379.74,375.48,512.0,31.56,27.1,4.76,1.18,92.56,1.2,100.0,LOW,87.44,73.3359375
SSO,700.26,98.26,83.16,2.39,0.31,3,1.92,26.13,444.78,468.73,512.0,45.56,41.1,7.21,2.23,79.7,2.36,1.31,HIGH,28.78,91.548828125
GEO,35786.0,4.06,66.19,3.89,1.0,4,3.51,50.05,133.41,12.48,512.0,83.58,78.79,2.18,4.07,65.79,4.04,55.63,HIGH,42.43,2.4375
MEO,4720.58,54.69,89.66,1.42,0.22,1,0.4,27.53,119.81,284.43,512.0,37.86,68.98,3.7,0.71,93.94,0.87,85.77,HIGH,36.29,55.552734375
MEO,19023.1,54.33,49.9,1.27,1.69,2,0.81,53.74,127.5,303.11,512.0,73.68,58.18,2.05,1.11,54.6,1.32,47.64,MEDIUM,60.15,59.201171875
MEO,11945.95,46.83,68.55,1.17,0.21,4,2.77,12.02,379.63,352.6,512.0,64.55,60.03,3.85,3.19,65.56,3.3,0.0,HIGH,43.37,68.8671875
SSO,639.23,97.23,87.64,2.76,0.85,3,2.96,20.3,259.9,77.47,512.0,68.26,39.82,5.33,3.72,84.33,3.53,0.0,HIGH,44.72,15.130859375
SSO,719.87,98.63,85.8,4.09,1.07,4,4.32,26.12,332.58,226.69,512.0,32.59,49.67,5.88,5.03,78.33,4.71,0.0,HIGH,38.3,44.275390625
LEO,746.09,81.65,92.29,1.16,0.19,3,2.73,8.2,339.38,248.23,512.0,49.07,48.03,7.61,2.96,91.89,3.31,0.0,HIGH,34.65,48.482421875
MEO,17467.12,58.89,68.81,2.25,0.45,2,1.42,47.25,164.46,33.37,512.0,59.67,59.19,2.07,2.01,64.71,1.95,69.55,MEDIUM,69.97,6.517578124999999
MEO,12335.08,56.55,50.06,4.3,0.36,2,0.81,7.07,382.64,327.64,512.0,44.3,42.8,3.49,0.85,49.77,1.25,73.42,LOW,80.2,63.9921875
LEO,346.65,89.4,55.86,1.15,0.92,1,0.5,30.26,217.48,176.14,512.0,72.13,23.83,6.86,0.72,56.22,0.79,34.26,MEDIUM,74.01,34.40234375
MEO,18235.21,55.67,58.16,1.45,0.82,5,5.7,51.8,324.81,269.2,512.0,16.09,59.58,7.35,6.49,52.92,6.23,0.0,HIGH,25.07,52.578125
SSO,658.09,98.22,38.73,1.84,0.14,4,3.92,31.77,225.53,377.23,512.0,54.78,68.41,1.13,4.6,35.68,4.33,29.06,HIGH,38.55,73.677734375
GEO,35786.0,2.69,77.99,3.52,0.2,1,1.18,21.39,366.01,358.61,512.0,18.28,34.25,6.18,1.74,74.76,1.53,58.91,LOW,82.91,70.041015625
LEO,951.31,38.07,63.91,0.57,1.62,3,3.03,24.92,434.0,170.79,512.0,33.43,62.38,1.71,3.75,64.54,3.55,31.18,MEDIUM,54.77,33.357421875
MEO,4694.47,50.02,95.25,4.27,1.35,2,1.36,19.0,440.92,417.27,512.0,38.74,75.25,7.86,1.66,98.59,1.74,57.66,HIGH,21.84,81.498046875
SSO,760.58,98.08,51.77,3.53,1.73,3,3.45,38.89,94.21,283.85,512.0,59.45,73.84,6.41,4.13,49.89,4.03,0.0,HIGH,28.47,55.43945312500001
MEO,11855.42,57.65,53.89,1.88,0.07,3,3.52,32.92,375.64,189.73,512.0,10.46,55.7,3.95,3.42,57.57,3.72,0.0,HIGH,18.49,37.056640625
SSO,672.79,98.16,61.85,4.2,1.1,1,0.96,23.57,250.24,211.45,512.0,13.53,54.15,8.32,1.24,54.16,1.18,48.43,MEDIUM,57.55,41.298828125
MEO,3334.76,45.21,98.98,1.7,0.48,4,4.53,25.95,318.5,228.91,512.0,53.16,44.32,6.96,5.09,100.0,5.13,0.0,HIGH,26.52,44.708984375
LEO,422.52,59.82,64.66,3.43,0.01,4,2.04,9.69,190.45,79.41,512.0,85.01,56.14,4.42,2.45,65.39,2.4,36.79,HIGH,38.37,15.509765625
LEO,309.11,68.84,60.39,1.48,0.84,4,2.98,45.71,78.87,219.02,512.0,18.29,77.03,4.54,3.71,56.08,3.4,0.0,HIGH,30.16,42.77734375
SSO,707.65,98.97,79.55,0.53,1.75,4,3.38,22.9,170.08,284.76,512.0,56.41,38.94,3.18,3.73,77.46,3.91,5.03,HIGH,36.55,55.6171875
GEO,35786.0,0.29,42.61,1.51,1.79,3,2.0,32.01,357.82,89.55,512.0,12.29,60.88,3.44,1.98,35.56,2.34,8.49,HIGH,35.46,17.490234375
MEO,11304.78,52.47,52.87,3.84,0.12,4,1.64,8.62,169.07,253.95,512.0,63.74,74.12,8.31,2.13,53.52,2.09,0.0,HIGH,12.75,49.599609375
GEO,35786.0,0.44,34.32,0.81,0.42,3,1.4,26.14,149.64,189.72,512.0,58.39,76.66,4.91,1.86,36.42,1.9,0.0,HIGH,17.29,37.0546875
MEO,10780.65,51.03,98.45,3.13,0.23,4,3.09,34.52,354.85,394.13,512.0,11.09,25.56,3.48,3.57,100.0,3.41,58.94,LOW,85.05,76.978515625
LEO,584.74,39.37,96.21,1.1,1.5,2,1.73,51.94,244.74,131.78,512.0,44.16,60.86,7.46,2.4,100.0,2.18,3.75,HIGH,35.21,25.73828125
MEO,7871.81,51.98,82.62,2.18,1.08,4,3.79,18.39,430.03,193.81,512.0,68.79,50.13,4.32,4.39,78.48,4.38,0.0,HIGH,40.97,37.853515625
GEO,35786.0,1.09,40.71,4.2,0.3,5,2.61,31.34,75.76,39.3,512.0,84.38,26.67,3.4,3.0,33.79,3.19,20.46,HIGH,16.44,7.675781249999999
LEO,514.16,89.43,71.15,4.37,0.38,2,2.11,26.89,265.58,354.28,512.0,63.39,58.68,8.07,2.85,67.33,2.66,0.0,HIGH,44.48,69.1953125
GEO,35786.0,1.08,43.72,3.87,1.25,5,2.36,46.71,278.64,299.94,512.0,94.11,43.75,4.58,2.67,36.16,2.7,9.91,HIGH,37.83,58.58203125
SSO,514.06,97.27,83.78,4.1,1.42,2,2.24,37.38,219.94,344.73,512.0,78.71,45.2,8.48,2.28,86.14,2.54,0.0,HIGH,30.26,67.330078125
SSO,727.14,98.25,97.41,0.68,1.66,3,2.23,17.74,329.39,348.76,512.0,25.91,32.72,9.39,2.69,96.61,2.58,0.0,HIGH,20.88,68.1171875
LEO,865.19,41.43,84.99,1.95,1.33,5,3.2,26.31,390.66,178.41,512.0,79.88,73.3,2.4,3.51,82.96,3.5,53.72,HIGH,19.49,34.845703125
SSO,541.37,97.9,60.04,1.05,1.15,1,0.45,28.99,358.1,224.88,512.0,42.5,38.12,5.18,0.79,53.6,0.87,43.46,MEDIUM,46.77,43.921875
SSO,573.98,98.65,47.57,3.37,1.39,3,2.27,54.14,149.89,210.64,512.0,91.22,37.48,9.17,2.38,45.83,2.67,0.0,HIGH,11.91,41.140625
LEO,847.59,92.84,45.75,2.59,0.65,2,2.09,47.99,254.99,317.83,512.0,75.69,42.4,2.94,2.91,49.9,2.67,25.85,MEDIUM,63.79,62.076171875
GEO,35786.0,1.25,34.15,0.72,1.35,4,3.12,39.51,70.28,294.55,512.0,13.34,55.95,1.92,3.41,38.19,3.55,0.0,HIGH,26.32,57.529296875
