orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,power_consumption_kw,remaining_battery_percent,mission_risk,health_score
LEO,350.83,76.14,68.17,3.36,1.02,2,2.06,22.75,389.61,384.82,512.0,57.29,39.61,4.69,2.46,66.21,2.62,28.55,MEDIUM,64.66
LEO,413.78,91.64,77.44,2.83,1.36,4,3.01,47.84,443.67,157.45,512.0,59.73,72.57,9.63,3.91,81.15,3.52,0.0,HIGH,25.14
GEO,35786.0,1.83,34.85,4.06,0.83,3,1.65,28.73,417.48,121.35,512.0,11.47,67.2,6.25,2.16,38.81,1.9,6.52,HIGH,40.48
SSO,619.58,97.92,88.31,3.97,1.47,1,0.55,17.29,195.77,387.9,512.0,36.33,67.75,1.93,0.78,87.38,0.91,100.0,HIGH,31.33
GEO,35786.0,4.53,47.09,2.77,1.16,5,2.08,51.65,296.76,356.14,512.0,71.87,78.55,7.39,2.28,49.55,2.6,0.0,HIGH,41.13
GEO,35786.0,3.36,58.56,4.06,0.41,2,1.04,33.27,342.16,378.74,512.0,18.73,66.0,3.47,1.36,55.39,1.27,78.59,HIGH,12.86
MEO,8278.7,57.67,39.64,2.82,0.78,5,5.97,8.96,374.97,34.44,512.0,38.96,38.96,5.7,6.37,36.9,6.54,0.0,HIGH,38.35
MEO,17395.44,59.13,79.9,1.68,1.43,4,2.95,8.03,195.4,397.27,512.0,50.11,73.67,5.93,3.28,84.33,3.21,0.0,HIGH,36.75
LEO,407.23,48.31,99.0,3.79,0.18,3,1.27,57.21,265.36,246.83,512.0,50.99,77.59,9.12,1.62,91.9,1.69,44.36,HIGH,44.7
MEO,14560.26,50.41,61.35,3.07,0.36,2,2.39,12.86,206.21,283.67,512.0,34.44,57.97,5.91,3.02,58.73,2.83,0.0,HIGH,15.98
LEO,468.06,34.7,85.06,1.45,1.67,1,1.16,30.74,303.12,379.29,512.0,39.05,71.55,4.03,1.33,80.77,1.41,65.53,HIGH,39.9
MEO,13859.02,45.38,51.32,1.08,1.12,4,2.86,58.86,73.82,403.52,512.0,90.21,29.75,6.33,3.22,54.34,3.42,0.0,HIGH,41.83
SSO,683.44,97.28,89.6,2.32,1.28,4,1.9,44.15,371.19,363.8,512.0,89.78,24.74,6.77,2.08,87.51,2.42,10.86,HIGH,21.25
SSO,762.37,98.35,91.36,1.88,1.38,4,3.13,24.54,443.19,267.35,512.0,20.77,59.36,4.52,3.42,88.16,3.54,10.18,HIGH,21.51
SSO,784.13,98.97,57.3,3.3,1.21,4,4.72,22.7,398.07,423.46,512.0,71.06,28.6,5.9,4.78,62.21,5.15,0.0,HIGH,22.08
MEO,19789.38,53.69,98.92,2.57,0.44,2,1.21,27.78,249.83,41.68,512.0,63.55,62.19,4.25,2.18,97.26,1.81,79.72,MEDIUM,71.34
SSO,742.93,97.24,30.63,3.02,0.72,2,1.85,35.63,239.29,382.56,512.0,39.16,36.97,7.62,2.29,34.18,2.27,0.0,HIGH,37.89
LEO,665.79,93.15,38.93,2.31,0.92,4,3.5,18.13,105.92,46.85,512.0,34.51,60.66,5.88,3.67,40.89,3.78,0.0,HIGH,18.65
LEO,434.88,60.07,76.32,1.66,0.73,4,3.39,23.57,163.16,298.87,512.0,34.67,56.07,7.52,4.29,76.61,3.94,0.0,HIGH,15.9
SSO,721.22,97.5,65.84,0.67,0.44,2,1.08,53.97,160.46,89.88,512.0,43.03,30.98,7.63,1.35,67.14,1.62,0.0,HIGH,11.7
MEO,15485.23,53.37,73.16,2.82,1.43,1,0.94,26.1,287.52,84.72,512.0,65.22,36.78,9.46,1.21,74.52,1.47,16.66,HIGH,39.1
GEO,35786.0,2.57,35.23,1.22,0.82,1,0.87,11.49,354.83,197.72,512.0,70.27,35.97,9.99,1.0,29.57,1.28,0.0,HIGH,35.37
GEO,35786.0,0.42,86.54,3.38,1.6,1,1.08,21.47,256.29,470.21,512.0,84.77,51.91,1.86,1.23,81.57,1.37,100.0,MEDIUM,53.21
MEO,12509.12,51.19,36.93,3.18,0.41,5,4.37,29.64,411.55,267.44,512.0,47.2,51.31,7.79,4.35,33.49,4.66,0.0,HIGH,15.41
MEO,3288.53,49.07,33.59,0.9,1.37,4,2.92,57.59,316.45,328.16,512.0,48.17,24.28,1.71,3.02,28.21,3.36,7.03,HIGH,27.37
SSO,564.48,97.56,45.99,3.28,0.69,1,0.95,27.12,367.15,380.85,512.0,54.14,72.95,1.79,1.5,40.39,1.29,70.38,HIGH,42.77
LEO,457.31,66.48,90.2,3.07,0.49,3,1.94,42.74,387.58,150.28,512.0,90.27,79.11,6.29,2.52,94.17,2.23,35.82,HIGH,29.36
SSO,681.46,98.31,89.34,2.97,1.73,5,2.08,28.97,157.53,454.03,512.0,65.37,78.18,5.42,2.41,93.76,2.48,37.4,HIGH,37.47
SSO,764.92,97.77,85.98,1.04,0.36,2,1.58,18.03,333.36,241.05,512.0,21.99,23.1,1.93,1.77,80.03,1.81,75.71,LOW,95.6
SSO,734.19,98.94,34.73,2.24,1.77,5,3.69,42.23,307.8,20.44,512.0,86.11,46.32,1.78,4.28,33.96,4.09,14.38,HIGH,26.41
MEO,5873.2,58.88,70.78,0.89,1.03,1,0.61,48.56,295.86,208.61,512.0,14.38,26.01,4.34,0.71,72.54,1.1,50.36,LOW,83.16
MEO,17936.17,54.97,39.39,3.99,0.76,3,2.55,25.15,68.01,375.04,512.0,27.92,63.32,5.69,2.54,43.17,2.92,0.0,HIGH,24.89
MEO,9965.44,51.78,36.1,0.65,0.47,5,2.65,16.42,165.85,251.44,512.0,18.56,60.34,5.98,3.26,31.18,3.09,0.0,HIGH,41.51
LEO,766.45,50.3,66.65,2.44,0.25,3,2.05,18.38,434.33,397.34,512.0,59.85,47.73,1.4,2.73,68.97,2.41,74.0,LOW,85.97
LEO,520.67,50.13,78.68,4.03,1.06,1,0.92,23.11,262.75,383.06,512.0,80.34,30.33,2.66,1.48,81.54,1.36,100.0,MEDIUM,54.23
GEO,35786.0,3.23,93.17,4.08,0.43,5,4.26,59.13,170.94,319.24,512.0,52.86,76.52,4.02,4.85,92.53,4.61,21.94,HIGH,27.77
LEO,572.09,40.68,87.8,0.61,0.33,2,1.53,30.77,159.69,403.44,512.0,42.16,43.68,8.25,2.1,89.46,1.98,0.0,HIGH,11.77
SSO,609.03,98.33,80.28,3.45,1.41,5,3.51,59.13,52.56,425.01,512.0,16.18,41.87,1.12,4.13,81.82,3.83,93.81,LOW,91.97
GEO,35786.0,4.75,74.37,3.2,1.23,1,0.9,53.99,94.64,182.57,512.0,33.65,67.21,3.66,1.29,76.2,1.23,83.58,HIGH,20.82
MEO,16361.84,56.14,66.39,3.69,0.88,3,1.82,52.28,168.24,305.63,512.0,42.02,47.91,2.55,2.63,62.55,2.3,72.41,LOW,97.37
GEO,35786.0,3.16,87.79,2.2,0.71,1,0.68,24.94,127.39,446.46,512.0,85.68,65.93,1.19,0.98,79.84,1.08,100.0,HIGH,10.2
GEO,35786.0,3.12,31.59,1.65,0.66,2,1.53,51.73,268.64,319.49,512.0,23.28,21.08,5.98,2.3,30.82,2.02,0.0,HIGH,43.14
MEO,3890.49,49.98,71.27,3.98,0.7,3,3.45,17.71,274.92,261.93,512.0,62.19,42.83,5.07,3.99,76.14,3.65,0.0,HIGH,28.95
MEO,13190.02,56.29,59.79,1.12,1.71,1,1.04,19.38,386.52,68.43,512.0,15.81,60.78,2.43,1.65,60.44,1.32,52.34,MEDIUM,49.73
SSO,755.64,98.57,38.42,2.29,0.26,4,4.4,21.86,308.44,232.5,512.0,72.83,79.85,1.09,4.68,37.24,4.87,31.41,HIGH,43.56
MEO,5516.78,57.62,73.52,3.09,1.68,1,1.03,40.51,444.3,202.63,512.0,59.47,40.41,2.52,1.28,71.3,1.39,87.79,LOW,96.41
SSO,611.44,98.08,99.85,1.07,0.84,1,0.89,37.75,325.23,443.29,512.0,62.11,40.96,8.01,1.35,100.0,1.37,41.2,MEDIUM,72.91
MEO,7419.03,56.91,72.64,4.45,0.34,4,2.43,53.84,445.14,249.09,512.0,13.16,47.08,9.0,2.58,65.69,2.97,0.0,HIGH,21.35
MEO,16457.23,48.76,78.94,3.36,0.36,5,4.14,12.12,122.04,110.33,512.0,86.26,59.89,5.19,4.6,72.48,4.65,0.0,HIGH,43.15
LEO,402.28,66.61,53.09,2.46,0.61,5,2.62,33.98,440.93,100.9,512.0,21.33,62.69,5.59,3.29,48.3,3.02,0.0,HIGH,15.23
LEO,786.67,77.46,45.26,0.93,0.96,1,0.56,8.69,99.38,332.69,512.0,32.07,74.07,9.23,1.34,39.39,0.99,0.0,HIGH,18.59
LEO,938.22,74.61,47.19,2.95,0.33,4,2.66,28.41,421.46,201.42,512.0,70.9,24.93,5.05,3.0,47.61,3.1,0.0,HIGH,31.68
LEO,692.6,31.64,62.25,1.23,0.39,3,2.62,56.88,115.96,442.07,512.0,27.75,42.2,1.41,3.01,54.93,3.08,48.7,LOW,95.21
GEO,35786.0,1.64,40.74,1.27,1.22,5,2.9,54.67,126.91,299.14,512.0,81.54,60.82,7.85,3.24,41.93,3.3,0.0,HIGH,37.24
LEO,651.42,46.91,48.52,1.98,0.98,2,1.23,28.63,249.75,323.71,512.0,92.36,27.01,2.27,1.9,42.48,1.63,48.29,HIGH,25.66
SSO,709.61,97.41,51.12,2.38,0.87,3,3.34,18.98,54.0,175.38,512.0,17.23,71.74,9.47,3.73,50.58,3.9,0.0,HIGH,30.89
GEO,35786.0,1.44,78.51,1.0,1.52,1,0.41,51.4,172.54,311.79,512.0,90.31,48.43,6.98,0.97,82.99,0.64,61.28,HIGH,13.44
LEO,736.93,35.44,78.82,3.44,1.57,4,3.92,39.36,210.59,39.11,512.0,61.85,24.38,1.5,3.93,80.67,4.22,78.95,LOW,84.48
GEO,35786.0,2.9,94.82,0.51,0.6,4,2.23,48.22,250.76,285.84,512.0,14.91,60.39,7.74,2.12,90.88,2.5,0.0,HIGH,40.09
LEO,825.52,97.63,54.87,0.81,1.04,5,4.86,39.16,368.91,263.54,512.0,66.54,48.46,6.22,5.21,54.27,5.23,0.0,HIGH,26.51
MEO,11238.9,50.84,57.66,1.76,0.95,5,2.96,20.93,135.48,359.05,512.0,60.5,27.28,1.59,3.85,52.94,3.52,42.53,MEDIUM,53.93
MEO,4832.93,48.84,71.72,3.5,0.03,2,1.67,21.8,181.16,411.67,512.0,34.08,42.95,1.47,1.88,75.99,2.27,92.01,LOW,99.06
GEO,35786.0,3.35,76.38,2.73,0.87,5,3.35,6.17,292.15,171.61,512.0,53.83,68.54,1.21,3.76,75.36,3.75,79.62,HIGH,10.52
LEO,775.37,80.68,66.22,4.26,0.95,4,3.88,20.0,372.74,270.25,512.0,93.72,74.49,2.24,3.99,58.66,4.33,54.36,HIGH,43.24
LEO,512.16,63.76,40.03,3.85,0.03,2,1.06,27.29,424.21,441.23,512.0,22.83,44.02,1.5,1.2,44.44,1.27,73.79,LOW,76.21
MEO,18118.2,46.67,71.46,1.09,1.73,1,0.52,57.34,409.5,18.24,512.0,10.45,24.69,1.56,0.53,66.26,0.83,76.1,LOW,96.64
SSO,580.46,98.74,83.23,1.3,0.41,3,3.02,19.16,304.22,73.13,512.0,62.66,23.52,9.08,3.44,76.85,3.28,0.0,HIGH,43.38
LEO,830.19,31.09,92.45,1.72,1.42,2,1.29,45.39,414.95,158.34,512.0,41.93,48.09,2.85,1.98,97.21,1.73,81.02,LOW,80.71
GEO,35786.0,4.97,43.9,4.43,0.52,4,2.39,47.7,386.12,472.81,512.0,54.71,54.89,4.77,2.93,44.97,2.87,8.07,HIGH,30.15
MEO,13433.19,49.28,61.94,1.25,0.42,3,2.98,5.69,431.99,42.37,512.0,71.52,34.18,8.48,3.21,63.19,3.45,0.0,HIGH,24.28
GEO,35786.0,1.09,84.37,0.66,1.69,4,2.69,19.17,300.91,471.44,512.0,16.37,68.91,7.28,3.16,81.13,3.01,0.0,HIGH,42.32
GEO,35786.0,0.49,55.26,0.7,0.92,3,2.04,17.34,256.33,328.9,512.0,49.57,64.13,1.47,2.27,53.26,2.43,40.39,MEDIUM,54.88
GEO,35786.0,3.45,45.41,1.89,1.71,1,0.73,29.16,398.76,327.12,512.0,11.55,51.23,5.78,1.36,39.63,1.07,27.82,MEDIUM,55.78
MEO,13416.91,54.85,69.0,1.49,1.66,2,1.61,47.52,51.85,403.15,512.0,93.81,35.12,5.1,1.94,62.33,1.92,23.33,HIGH,44.24
SSO,570.44,97.73,47.54,3.23,0.84,3,2.71,36.31,236.06,139.62,512.0,22.05,55.15,2.71,3.05,42.06,3.1,31.74,MEDIUM,63.21
SSO,726.57,98.68,33.19,3.98,0.89,5,4.47,27.86,141.08,299.24,512.0,16.91,24.83,8.08,5.24,35.14,4.96,0.0,HIGH,36.21
SSO,771.64,98.31,70.93,3.53,0.7,3,1.43,40.19,357.85,448.21,512.0,58.8,26.8,7.95,2.08,63.03,2.02,9.03,HIGH,24.28
GEO,35786.0,2.64,70.33,1.12,1.45,3,2.61,23.45,60.28,88.51,512.0,31.41,21.44,6.76,2.76,64.21,2.92,0.0,HIGH,37.15
GEO,35786.0,2.34,70.82,4.21,0.21,1,0.61,37.83,412.26,57.12,512.0,93.77,75.95,7.22,1.39,63.5,1.02,73.35,HIGH,13.64
GEO,35786.0,2.27,52.62,1.44,1.72,1,0.9,35.22,377.76,361.19,512.0,51.84,76.68,2.14,1.05,53.8,1.4,50.49,HIGH,36.73
MEO,15903.97,46.03,64.2,1.12,0.76,1,0.96,8.37,249.54,188.61,512.0,34.77,30.0,6.9,1.19,68.43,1.43,13.45,HIGH,11.6
MEO,3392.87,56.77,30.89,2.55,0.01,3,3.11,45.62,396.4,265.9,512.0,25.39,21.74,2.8,3.85,32.41,3.55,0.0,HIGH,17.58
SSO,743.28,98.45,92.72,1.2,1.69,4,4.74,14.74,70.72,225.38,512.0,22.87,63.54,7.74,4.86,97.4,5.26,0.0,HIGH,10.97
MEO,13802.54,57.0,60.84,2.08,0.45,4,3.48,46.72,395.7,144.46,512.0,45.99,43.63,8.41,3.61,57.27,3.87,0.0,HIGH,33.32
GEO,35786.0,1.58,34.64,1.13,0.95,3,3.04,31.31,62.77,358.42,512.0,81.52,79.3,5.43,3.57,32.21,3.51,0.0,HIGH,27.89
LEO,789.1,37.99,55.76,2.39,0.68,4,3.4,17.24,292.21,465.28,512.0,53.17,20.31,7.96,3.96,55.79,3.64,0.0,HIGH,26.15
SSO,568.81,98.26,64.18,1.12,1.64,1,0.75,27.54,234.47,23.49,512.0,68.42,55.0,8.08,0.88,56.59,0.96,27.12,MEDIUM,46.51
GEO,35786.0,1.48,60.96,3.14,1.78,2,2.23,45.77,59.71,345.44,512.0,59.73,46.64,6.89,2.71,60.93,2.67,0.0,HIGH,34.41
LEO,778.25,57.06,76.31,4.11,1.31,1,0.49,29.8,435.28,197.07,512.0,89.25,71.03,3.04,1.01,69.67,0.84,100.0,HIGH,17.68
SSO,771.27,98.15,87.17,0.58,0.09,1,0.86,20.81,329.13,136.62,512.0,24.86,43.56,7.09,1.45,80.55,1.12,42.45,MEDIUM,48.16
SSO,547.8,97.03,71.38,3.57,0.32,5,4.46,49.49,106.31,163.32,512.0,32.37,30.07,7.39,4.79,74.68,4.84,0.0,HIGH,25.94
GEO,35786.0,1.9,72.68,2.07,0.28,1,1.15,38.5,233.03,321.74,512.0,61.7,30.43,1.41,1.23,71.65,1.54,83.38,LOW,93.06
LEO,881.13,49.0,52.08,1.18,0.98,3,2.48,36.55,117.99,239.69,512.0,30.05,42.26,5.03,2.79,50.98,2.89,0.0,HIGH,27.23
LEO,540.39,81.34,71.54,1.76,1.55,3,2.33,43.08,437.55,286.07,512.0,29.94,22.87,5.58,2.4,72.8,2.66,0.0,HIGH,26.28
GEO,35786.0,4.66,89.12,1.48,0.94,2,1.39,32.57,84.36,272.35,512.0,86.6,40.38,4.27,1.84,82.98,1.72,59.11,HIGH,11.87
MEO,8846.26,55.92,66.71,0.73,0.61,2,2.34,23.93,266.12,369.78,512.0,91.69,54.16,3.53,2.47,61.0,2.73,12.82,HIGH,31.86
GEO,35786.0,0.2,83.62,1.45,1.37,3,1.82,22.61,233.91,416.57,512.0,20.22,49.22,5.38,2.33,84.16,2.41,16.83,HIGH,16.11
MEO,19241.0,58.03,37.09,0.74,0.4,1,0.53,38.53,397.93,229.95,512.0,46.2,37.38,3.46,0.46,39.14,0.82,27.47,MEDIUM,46.47
SSO,603.88,98.08,71.67,0.94,1.57,4,4.65,27.48,361.59,454.45,512.0,69.93,46.32,5.08,4.8,75.56,5.0,0.0,HIGH,35.18
SSO,506.13,97.73,85.53,4.29,0.5,1,1.09,45.17,99.06,251.38,512.0,72.24,51.31,4.39,1.45,83.68,1.64,90.25,MEDIUM,66.6
SSO,666.66,98.79,65.11,1.13,1.07,4,3.32,15.24,430.92,456.18,512.0,30.35,60.29,1.74,3.71,63.33,3.75,36.24,MEDIUM,50.64
MEO,9520.67,48.05,41.16,1.56,1.74,5,3.52,52.33,106.08,49.48,512.0,63.83,71.22,9.84,4.04,37.82,4.12,0.0,HIGH,41.4
SSO,730.18,97.35,99.65,1.91,0.98,4,2.09,30.21,359.99,309.92,512.0,20.75,20.21,8.87,2.44,93.43,2.43,0.0,HIGH,12.59
GEO,35786.0,0.9,33.98,2.22,1.46,5,5.41,42.66,333.77,96.96,512.0,73.83,24.97,1.8,5.32,34.08,5.66,0.0,HIGH,34.06
MEO,19182.32,52.68,87.55,1.89,1.07,2,2.04,23.36,301.95,69.38,512.0,71.3,35.6,7.84,2.51,89.99,2.37,0.0,HIGH,33.05
SSO,564.45,97.06,94.24,3.58,1.18,5,2.36,16.04,191.01,434.21,512.0,58.95,74.29,2.69,3.19,94.94,2.92,86.12,HIGH,44.86
LEO,969.44,31.14,47.93,1.03,0.53,4,4.17,56.09,437.5,268.26,512.0,81.97,66.18,5.38,4.57,52.31,4.38,0.0,HIGH,44.25
GEO,35786.0,4.92,56.02,3.79,0.9,4,4.38,23.28,57.08,11.43,512.0,39.32,56.0,4.54,4.98,57.13,4.7,0.0,HIGH,11.17
MEO,19403.42,58.45,96.31,1.25,1.65,1,0.94,57.03,305.25,165.87,512.0,18.66,75.08,2.83,1.59,100.0,1.32,87.01,HIGH,44.3
SSO,760.16,98.96,56.28,4.48,0.11,4,3.59,27.63,185.89,75.65,512.0,18.04,59.38,8.61,4.21,56.65,3.85,0.0,HIGH,34.91
LEO,315.52,31.29,57.82,3.3,0.24,4,2.58,50.56,158.31,310.92,512.0,11.41,48.37,5.86,3.0,57.29,3.03,0.0,HIGH,27.81
SSO,619.74,97.94,40.84,2.24,0.02,3,3.23,17.5,307.56,213.21,512.0,85.74,68.99,7.84,3.21,41.36,3.61,0.0,HIGH,38.98
SSO,599.28,97.05,94.83,0.87,0.99,3,2.34,50.21,262.2,111.94,512.0,14.9,25.08,1.14,3.14,98.99,2.85,84.12,LOW,80.9
GEO,35786.0,2.4,53.16,1.84,0.33,2,2.32,6.18,223.23,128.09,512.0,81.15,52.04,4.4,3.02,56.33,2.9,0.0,HIGH,33.07
GEO,35786.0,3.87,43.49,2.09,0.69,4,4.32,35.09,401.93,426.45,512.0,69.88,57.32,8.57,4.88,46.7,4.72,0.0,HIGH,28.44
LEO,522.68,59.68,47.58,0.57,1.45,2,1.7,41.56,155.05,296.26,512.0,30.15,62.98,4.57,1.63,52.48,1.96,0.0,HIGH,22.18
MEO,8346.61,52.04,65.7,2.51,1.54,1,0.91,18.55,76.29,229.68,512.0,18.27,71.3,1.17,1.51,62.96,1.34,85.56,HIGH,15.47
GEO,35786.0,4.3,94.32,4.22,1.18,3,3.2,52.53,75.45,381.49,512.0,33.27,59.14,1.42,3.52,94.02,3.56,100.0,MEDIUM,59.78
SSO,714.56,97.19,78.22,1.03,1.3,1,0.63,46.66,85.25,85.47,512.0,69.82,63.62,4.0,0.7,80.09,0.95,65.91,MEDIUM,52.67
SSO,680.53,97.95,48.46,1.5,1.03,4,4.24,24.8,121.23,275.8,512.0,86.81,51.53,6.06,4.63,49.65,4.75,0.0,HIGH,15.02
SSO,507.63,98.26,84.16,3.24,1.02,4,3.21,7.34,336.07,291.18,512.0,85.44,28.07,7.26,3.35,82.45,3.72,0.0,HIGH,18.24
MEO,7699.44,48.05,68.89,4.21,1.56,5,4.31,20.8,237.01,73.22,512.0,32.1,60.96,8.33,4.28,63.4,4.61,0.0,HIGH,42.5
MEO,6321.46,52.52,68.96,3.76,1.58,5,3.23,56.44,179.2,430.83,512.0,89.57,38.93,3.57,3.4,71.86,3.65,29.31,HIGH,36.15
SSO,709.18,98.09,41.84,3.7,1.09,4,3.71,21.33,55.28,203.38,512.0,74.59,31.67,9.92,4.49,39.47,4.25,0.0,HIGH,10.07
MEO,7552.23,58.2,41.41,0.77,1.17,4,3.39,18.29,175.25,333.72,512.0,78.33,71.66,3.83,4.06,44.74,3.98,0.0,HIGH,21.93
LEO,791.72,94.32,70.82,1.45,1.0,5,3.09,58.84,325.39,402.94,512.0,62.29,62.81,8.16,3.5,64.69,3.67,0.0,HIGH,37.33
SSO,606.35,97.69,38.66,3.02,1.57,5,2.77,13.49,150.47,80.44,512.0,31.74,32.86,2.08,2.98,34.38,3.31,30.03,MEDIUM,58.42
SSO,778.75,98.59,39.66,1.38,0.2,5,3.39,16.82,299.48,233.0,512.0,23.47,30.81,9.15,3.65,38.01,3.71,0.0,HIGH,29.01
GEO,35786.0,2.52,82.55,3.82,1.8,5,4.14,12.53,55.96,210.58,512.0,25.37,45.84,2.11,4.42,75.28,4.44,67.44,LOW,85.52
SSO,620.25,98.28,77.55,1.18,1.35,3,2.77,14.87,76.04,40.94,512.0,55.42,37.29,7.73,3.57,81.08,3.21,0.0,HIGH,42.41
LEO,423.99,44.84,72.9,2.57,1.67,5,5.44,14.51,308.2,455.26,512.0,16.04,45.81,6.56,5.82,74.45,5.65,0.0,HIGH,37.45
LEO,856.96,84.05,83.61,2.74,0.7,2,1.31,43.96,359.34,207.53,512.0,80.85,55.8,4.68,1.28,88.38,1.66,66.08,MEDIUM,65.01
MEO,6522.0,57.14,59.42,4.31,0.33,5,2.21,36.5,251.22,468.51,512.0,24.34,27.95,2.15,2.31,62.55,2.53,75.78,LOW,85.74
SSO,571.39,98.84,63.11,2.38,1.36,3,3.08,51.66,51.26,196.14,512.0,83.66,30.84,6.44,3.45,60.52,3.59,0.0,HIGH,22.65
SSO,587.76,97.54,36.31,2.57,0.52,3,3.27,8.46,203.03,152.03,512.0,91.78,39.19,1.81,3.6,29.65,3.65,24.23,HIGH,27.45
LEO,404.45,65.49,39.49,1.32,1.58,3,1.56,51.71,438.32,132.62,512.0,37.78,33.39,9.13,1.76,43.12,2.08,0.0,HIGH,29.3
MEO,11208.75,57.31,37.53,0.87,1.21,2,0.84,16.88,212.06,132.19,512.0,36.32,28.65,7.8,1.52,35.61,1.21,0.0,HIGH,40.06
SSO,551.5,97.88,36.67,4.38,0.63,3,2.35,36.87,219.35,139.81,512.0,30.07,53.43,9.81,2.95,38.63,2.9,0.0,HIGH,28.48
LEO,479.0,56.94,39.09,3.88,0.55,3,1.89,20.96,427.17,184.54,512.0,47.3,21.5,5.55,1.98,35.14,2.15,7.94,HIGH,18.19
SSO,565.56,98.32,40.69,1.48,0.2,3,2.7,10.49,51.44,66.86,512.0,52.13,72.78,8.84,2.88,44.52,2.92,0.0,HIGH,10.42
LEO,319.24,76.99,39.73,2.86,0.74,5,5.86,59.24,226.03,401.59,512.0,24.52,29.26,8.91,6.5,41.32,6.26,0.0,HIGH,25.49
LEO,725.76,37.11,89.7,3.48,0.37,3,1.36,12.64,375.99,384.96,512.0,13.58,41.02,7.28,1.66,94.29,1.81,45.99,LOW,79.37
MEO,15333.53,52.49,50.49,2.69,0.32,3,2.45,12.65,270.13,58.35,512.0,37.24,59.92,8.31,2.33,44.75,2.72,0.0,HIGH,36.9
SSO,663.82,98.6,68.87,3.93,0.31,4,4.45,26.13,79.24,386.78,512.0,73.48,24.65,3.47,4.92,62.51,4.8,7.73,HIGH,41.39
MEO,6423.6,55.18,67.86,2.72,0.59,2,2.29,13.19,208.67,350.65,512.0,78.87,71.83,9.58,2.19,67.28,2.53,0.0,HIGH,41.01
LEO,966.17,64.26,80.79,1.91,1.21,1,0.93,26.39,193.4,167.09,512.0,52.69,79.71,9.28,1.67,84.62,1.47,15.37,HIGH,31.65
GEO,35786.0,3.24,97.28,3.94,1.41,4,3.36,44.62,438.62,13.48,512.0,19.65,31.67,3.26,3.57,95.78,3.65,67.24,LOW,90.1
SSO,661.36,98.59,40.32,4.39,1.3,4,2.08,25.21,449.29,236.32,512.0,63.25,52.94,4.36,2.68,40.47,2.62,18.8,HIGH,42.36
SSO,726.69,97.98,34.36,3.06,1.38,5,5.01,48.86,244.49,203.56,512.0,74.53,78.69,4.51,5.38,31.1,5.6,0.0,HIGH,42.08
LEO,957.28,77.17,99.19,3.87,1.11,1,0.68,46.08,160.18,324.9,512.0,25.37,73.88,3.98,1.05,100.0,1.06,100.0,HIGH,26.42
LEO,945.75,96.71,76.95,2.92,1.34,1,0.53,43.02,389.7,308.09,512.0,76.61,68.07,7.32,0.96,79.85,0.98,65.26,HIGH,43.96
MEO,2487.04,56.28,73.82,1.37,0.27,1,0.48,23.51,156.06,219.49,512.0,44.17,64.45,8.5,0.71,69.94,0.98,36.02,MEDIUM,53.08
GEO,35786.0,0.24,41.64,2.34,0.85,4,2.03,49.85,272.14,454.21,512.0,31.48,32.68,3.67,2.33,35.18,2.58,8.13,HIGH,14.68
GEO,35786.0,3.14,47.41,1.06,1.7,4,4.55,32.39,94.52,14.44,512.0,26.69,63.87,4.44,4.84,40.9,5.02,0.0,HIGH,24.22
MEO,10660.38,48.47,45.22,4.1,0.4,1,1.17,37.4,250.57,37.92,512.0,35.55,40.07,5.32,1.76,42.18,1.57,40.2,MEDIUM,51.87
LEO,646.7,89.0,33.84,1.3,0.46,4,2.89,11.98,318.51,208.87,512.0,47.32,44.09,6.18,3.5,34.21,3.45,0.0,HIGH,19.7
SSO,751.01,97.75,71.21,3.22,0.78,4,3.05,35.27,106.61,332.83,512.0,30.27,44.14,7.32,3.86,76.05,3.59,0.0,HIGH,21.02
GEO,35786.0,1.24,30.43,1.9,1.4,1,0.52,59.77,329.83,115.59,512.0,53.29,42.99,6.32,1.03,31.79,0.74,22.63,HIGH,28.15
GEO,35786.0,2.98,63.81,3.5,1.79,1,0.77,28.56,182.47,174.95,512.0,85.7,31.31,5.74,1.34,64.67,1.11,64.42,HIGH,22.92
SSO,720.93,97.53,82.09,4.45,0.71,5,2.33,19.75,280.65,80.32,512.0,80.66,75.2,9.23,2.45,86.43,2.76,0.0,HIGH,30.36
MEO,12851.79,53.73,47.14,3.18,1.05,1,1.12,14.11,362.33,405.41,512.0,63.64,50.58,1.98,1.9,50.19,1.59,64.82,MEDIUM,49.83
LEO,591.34,32.47,77.39,0.66,1.0,3,3.58,28.27,330.22,214.49,512.0,56.9,25.3,3.46,3.7,81.77,4.06,0.0,HIGH,36.23
GEO,35786.0,4.11,70.46,4.1,0.05,1,1.04,46.59,280.97,57.89,512.0,37.42,25.36,5.52,1.4,74.13,1.63,61.32,LOW,88.14
LEO,909.14,39.75,89.93,2.9,0.45,2,2.3,38.32,203.46,445.56,512.0,89.93,33.8,3.77,3.24,89.57,2.89,53.83,HIGH,20.65
MEO,17146.59,58.87,57.91,1.69,0.31,5,2.43,29.68,442.75,71.6,512.0,49.19,52.23,7.38,3.3,50.47,3.03,0.0,HIGH,13.14
